event_id,semantic_type,domain,run,seed,generation_status,ir_status,ir_reason,ir_json,ir_semantic_string,source_family,normalized_numbers,normalized_dates,normalized_codes,selection_status,selected_candidate_id,selected_value,selection_reason,decision_path,candidate_scores_json,runtime_ms,prompt_eval_count,eval_count,raw_output_file,oracle_candidate_id,oracle_value,selection_oracle_correct,full_closure_success,candidate_owl,triples_removed,triples_added,minimal_edit_gate,reasoner_result,reasoner_runtime_ms,reasoner_gate,source_triggers_repair_cq,candidate_satisfies_repair_cq,repair_cq_message
EXT_E001,TEMPORAL_VERSION,insurance,1,20260827,GENERATED,OK,ok,"{""effective_time"": ""2026"", ""priority"": ""300"", ""relation"": ""EFFECTIVE_FROM"", ""result"": [""leaf_stem_fruit_gourd_flower_green_onion_bean_other"", ""insurance"", ""temporal_version"", ""insurance_amount_split:2026:leaf_stem_fruit_gourd_flower_green_onion_bean_other""], ""statement"": ""每亩保险金额分项"", ""subject"": ""叶类、根茎类蔬菜、茄果类及其他类蔬菜轮作""}","type=temporal_version;subject=叶类、根茎类蔬菜、茄果类及其他类蔬菜轮作;relation=EFFECTIVE_FROM;effective_time=2026;priority=300;statement=每亩保险金额分项;result=['leaf_stem_fruit_gourd_flower_green_onion_bean_other', 'insurance', 'temporal_version', 'insurance_amount_split:2026:leaf_stem_fruit_gourd_flower_green_onion_bean_other'];numbers=300|2026",insurance_amount_split,300|2026,,,ABSTAIN,,,tied top scores=0.13,IR_RANK_TIE_ABSTAIN,"[{""candidate_id"": ""CAND_002"", ""contradiction_penalty"": 0.0, ""display_value"": ""spring=1100;summer_autumn=900;total=2000"", ""new_status"": ""UNSPECIFIED"", ""new_value"": ""spring=1100;summer_autumn=900;total=2000"", ""ontology_constraint_score"": 0.0, ""relation_direction_match"": 0.7, ""score"": 0.13, ""small_token_score"": 0.0, ""status_consistency"": 0.5, ""structured_value_match"": 0.0, ""temporal_role_match"": 0.0}, {""candidate_id"": ""CAND_003"", ""contradiction_penalty"": 0.0, ""display_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""new_status"": ""UNSPECIFIED"", ""new_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""ontology_constraint_score"": 0.0, ""relation_direction_match"": 0.7, ""score"": 0.13, ""small_token_score"": 0.0, ""status_consistency"": 0.5, ""structured_value_match"": 0.0, ""temporal_role_match"": 0.0}, {""candidate_id"": ""CAND_001"", ""contradiction_penalty"": 0.55, ""display_value"": ""total_only=2000"", ""new_status"": ""PREVIOUS"", ""new_value"": ""total_only=2000"", ""ontology_constraint_score"": 0.0, ""relation_direction_match"": 0.0, ""score"": 0.0, ""small_token_score"": 0.0, ""status_consistency"": 0.5, ""structured_value_match"": 0.0, ""temporal_role_match"": 0.0}]",18261,1346,542,output\external-real-v8-grounded\preformal-r3\raw_window_metadata_light\raw\EXT_E001-run1-seed20260827.json,CAND_002,spring=1100;summer_autumn=900;total=2000,False,False,,,,,,,,,,
EXT_E001,TEMPORAL_VERSION,insurance,2,20260828,GENERATED,OK,ok,"{""priority"": ""300"", ""relation"": ""EFFECTIVE_FROM"", ""result"": [""2026"", ""insurance_amount_split:vegetable_type_refinement_2026""], ""statement"": ""每亩保险金额分项"", ""subject"": ""叶类、根茎类蔬菜、茄果类及其他类蔬菜轮作""}","type=temporal_version;subject=叶类、根茎类蔬菜、茄果类及其他类蔬菜轮作;relation=EFFECTIVE_FROM;priority=300;statement=每亩保险金额分项;result=['2026', 'insurance_amount_split:vegetable_type_refinement_2026'];numbers=149|300|2025|2026|744058179|2026070319534651291",insurance_amount_split,149|300|2025|2026|744058179|2026070319534651291,,,ABSTAIN,,,tied top scores=0.13,IR_RANK_TIE_ABSTAIN,"[{""candidate_id"": ""CAND_002"", ""contradiction_penalty"": 0.0, ""display_value"": ""spring=1100;summer_autumn=900;total=2000"", ""new_status"": ""UNSPECIFIED"", ""new_value"": ""spring=1100;summer_autumn=900;total=2000"", ""ontology_constraint_score"": 0.0, ""relation_direction_match"": 0.7, ""score"": 0.13, ""small_token_score"": 0.0, ""status_consistency"": 0.5, ""structured_value_match"": 0.0, ""temporal_role_match"": 0.0}, {""candidate_id"": ""CAND_003"", ""contradiction_penalty"": 0.0, ""display_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""new_status"": ""UNSPECIFIED"", ""new_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""ontology_constraint_score"": 0.0, ""relation_direction_match"": 0.7, ""score"": 0.13, ""small_token_score"": 0.0, ""status_consistency"": 0.5, ""structured_value_match"": 0.0, ""temporal_role_match"": 0.0}, {""candidate_id"": ""CAND_001"", ""contradiction_penalty"": 0.55, ""display_value"": ""total_only=2000"", ""new_status"": ""PREVIOUS"", ""new_value"": ""total_only=2000"", ""ontology_constraint_score"": 0.0, ""relation_direction_match"": 0.0, ""score"": 0.0, ""small_token_score"": 0.0, ""status_consistency"": 0.5, ""structured_value_match"": 0.0, ""temporal_role_match"": 0.0}]",23298,1346,744,output\external-real-v8-grounded\preformal-r3\raw_window_metadata_light\raw\EXT_E001-run2-seed20260828.json,CAND_002,spring=1100;summer_autumn=900;total=2000,False,False,,,,,,,,,,
EXT_E001,TEMPORAL_VERSION,insurance,3,20260829,GENERATED,OK,ok,"{""priority"": ""300"", ""relation"": ""EFFECTIVE_FROM"", ""result"": [""leaf_stem_fruit_gourd_flower_onion_bean_other"", ""2026"", ""2026_insurance_amount_split_leaf_stem_fruit_gourd_flower_onion_bean_other""], ""statement"": ""每亩保险金额分项"", ""subject"": ""叶类、根茎类蔬菜、茄果类及其他类蔬菜轮作""}","type=temporal_version;subject=叶类、根茎类蔬菜、茄果类及其他类蔬菜轮作;relation=EFFECTIVE_FROM;priority=300;statement=每亩保险金额分项;result=['leaf_stem_fruit_gourd_flower_onion_bean_other', '2026', '2026_insurance_amount_split_leaf_stem_fruit_gourd_flower_onion_bean_other'];numbers=300|2026",insurance_amount_split,300|2026,,,ABSTAIN,,,tied top scores=0.13,IR_RANK_TIE_ABSTAIN,"[{""candidate_id"": ""CAND_002"", ""contradiction_penalty"": 0.0, ""display_value"": ""spring=1100;summer_autumn=900;total=2000"", ""new_status"": ""UNSPECIFIED"", ""new_value"": ""spring=1100;summer_autumn=900;total=2000"", ""ontology_constraint_score"": 0.0, ""relation_direction_match"": 0.7, ""score"": 0.13, ""small_token_score"": 0.0, ""status_consistency"": 0.5, ""structured_value_match"": 0.0, ""temporal_role_match"": 0.0}, {""candidate_id"": ""CAND_003"", ""contradiction_penalty"": 0.0, ""display_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""new_status"": ""UNSPECIFIED"", ""new_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""ontology_constraint_score"": 0.0, ""relation_direction_match"": 0.7, ""score"": 0.13, ""small_token_score"": 0.0, ""status_consistency"": 0.5, ""structured_value_match"": 0.0, ""temporal_role_match"": 0.0}, {""candidate_id"": ""CAND_001"", ""contradiction_penalty"": 0.55, ""display_value"": ""total_only=2000"", ""new_status"": ""PREVIOUS"", ""new_value"": ""total_only=2000"", ""ontology_constraint_score"": 0.0, ""relation_direction_match"": 0.0, ""score"": 0.0, ""small_token_score"": 0.0, ""status_consistency"": 0.5, ""structured_value_match"": 0.0, ""temporal_role_match"": 0.0}]",10235,1346,328,output\external-real-v8-grounded\preformal-r3\raw_window_metadata_light\raw\EXT_E001-run3-seed20260829.json,CAND_002,spring=1100;summer_autumn=900;total=2000,False,False,,,,,,,,,,
EXT_E002,CROSS_SENTENCE_SCOPE,insurance,1,20260827,RETRIEVAL_FAILED,INVALID_OUTPUT,response_not_object,{},type=cross_sentence_scope,,,,,ABSTAIN,,,response_not_object,IR_FAIL_CLOSED,[],0,0,0,output\external-real-v8-grounded\preformal-r3\raw_window_metadata_light\raw\EXT_E002-run1-seed20260827.json,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,False,False,,,,,,,,,,
EXT_E002,CROSS_SENTENCE_SCOPE,insurance,2,20260828,RETRIEVAL_FAILED,INVALID_OUTPUT,response_not_object,{},type=cross_sentence_scope,,,,,ABSTAIN,,,response_not_object,IR_FAIL_CLOSED,[],0,0,0,output\external-real-v8-grounded\preformal-r3\raw_window_metadata_light\raw\EXT_E002-run2-seed20260828.json,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,False,False,,,,,,,,,,
EXT_E002,CROSS_SENTENCE_SCOPE,insurance,3,20260829,RETRIEVAL_FAILED,INVALID_OUTPUT,response_not_object,{},type=cross_sentence_scope,,,,,ABSTAIN,,,response_not_object,IR_FAIL_CLOSED,[],0,0,0,output\external-real-v8-grounded\preformal-r3\raw_window_metadata_light\raw\EXT_E002-run3-seed20260829.json,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,False,False,,,,,,,,,,
EXT_E003,GENERAL_RULE_EXCEPTION,insurance,1,20260827,RETRIEVAL_FAILED,INVALID_OUTPUT,response_not_object,{},type=general_rule_exception,,,,,ABSTAIN,,,response_not_object,IR_FAIL_CLOSED,[],0,0,0,output\external-real-v8-grounded\preformal-r3\raw_window_metadata_light\raw\EXT_E003-run1-seed20260827.json,CAND_002,formula=accident_date_limit_times_loss_rate,False,False,,,,,,,,,,
EXT_E003,GENERAL_RULE_EXCEPTION,insurance,2,20260828,RETRIEVAL_FAILED,INVALID_OUTPUT,response_not_object,{},type=general_rule_exception,,,,,ABSTAIN,,,response_not_object,IR_FAIL_CLOSED,[],0,0,0,output\external-real-v8-grounded\preformal-r3\raw_window_metadata_light\raw\EXT_E003-run2-seed20260828.json,CAND_002,formula=accident_date_limit_times_loss_rate,False,False,,,,,,,,,,
EXT_E003,GENERAL_RULE_EXCEPTION,insurance,3,20260829,RETRIEVAL_FAILED,INVALID_OUTPUT,response_not_object,{},type=general_rule_exception,,,,,ABSTAIN,,,response_not_object,IR_FAIL_CLOSED,[],0,0,0,output\external-real-v8-grounded\preformal-r3\raw_window_metadata_light\raw\EXT_E003-run3-seed20260829.json,CAND_002,formula=accident_date_limit_times_loss_rate,False,False,,,,,,,,,,
EXT_E004,TEMPORAL_VERSION,web_accessibility,1,20260827,GENERATED,OK,ok,"{""priority"": ""300"", ""relation"": ""ADDED"", ""result"": [""wcag success criterion 2.4.11"", ""web_accessibility"", ""wcag22_added=2.4.11;level=aa""], ""statement"": ""versioned requirement status"", ""subject"": ""WCAG success criterion 2.4.11""}","type=temporal_version;subject=WCAG success criterion 2.4.11;relation=ADDED;priority=300;statement=versioned requirement status;result=['wcag success criterion 2.4.11', 'web_accessibility', 'wcag22_added=2.4.11;level=aa'];codes=2.4.11;numbers=2|11|2.1|2.2|2.4|300",wcag22_added,2|11|2.1|2.2|2.4|300,,2.4.11,SELECTED,CAND_002,wcag22_added=2.4.11;level=AA,unique semantic candidate match after IR normalization,IR_EXACT_MATCH,"[{""candidate_id"": ""CAND_001"", ""code_score"": 0.0, ""display_value"": ""wcag21_status=not_present"", ""exact_score"": 0.0, ""family_score"": 0.35, ""matched_codes"": """", ""matched_numbers"": """", ""matched_tokens"": """", ""negative_penalty"": 0.18, ""number_score"": 0.0, ""score"": 0.0, ""semantic_bonus"": 0.0, ""semantic_match"": false, ""semantic_match_evidence"": {""family"": ""exact_fallback""}, ""token_score"": 0.0}, {""candidate_id"": ""CAND_002"", ""code_score"": 1.0, ""display_value"": ""wcag22_added=2.4.11;level=AA"", ""exact_score"": 1.0, ""family_score"": 1.0, ""matched_codes"": ""2.4.11"", ""matched_numbers"": ""11"", ""matched_tokens"": ""11|aa|add|added|level|wcag22"", ""negative_penalty"": 0.0, ""number_score"": 1.0, ""score"": 1.0, ""semantic_bonus"": 0.0, ""semantic_match"": true, ""semantic_match_evidence"": {""change_ok"": true, ""code"": ""2.4.11"", ""expected_name_tokens"": ""focu|focus|minimum|not|obscur|obscured"", ""family"": ""wcag22_added"", ""has_code"": true, ""has_level"": true, ""has_name"": false, ""has_wcag21"": false, ""has_wcag22"": true, ""input_ok"": true, ""level"": ""AA"", ""matched_name_tokens"": """", ""scope_ok"": false}, ""token_score"": 1.0}, {""candidate_id"": ""CAND_003"", ""code_score"": 1.0, ""display_value"": ""wcag22_added=2.4.11;level=AAA"", ""exact_score"": 0.0, ""family_score"": 1.0, ""matched_codes"": ""2.4.11"", ""matched_numbers"": ""11"", ""matched_tokens"": ""11|add|added|level|wcag22"", ""negative_penalty"": 0.0, ""number_score"": 1.0, ""score"": 0.9167, ""semantic_bonus"": 0.0, ""semantic_match"": false, ""semantic_match_evidence"": {""change_ok"": true, ""code"": ""2.4.11"", ""expected_name_tokens"": ""focu|focus|minimum|not|obscur|obscured"", ""family"": ""wcag22_added"", ""has_code"": true, ""has_level"": false, ""has_name"": false, ""has_wcag21"": false, ""has_wcag22"": true, ""input_ok"": true, ""level"": ""AAA"", ""matched_name_tokens"": """", ""scope_ok"": false}, ""token_score"": 0.8333}]",12449,1850,339,output\external-real-v8-grounded\preformal-r3\raw_window_metadata_light\raw\EXT_E004-run1-seed20260827.json,CAND_002,wcag22_added=2.4.11;level=AA,True,True,output\auto-policy-v4.3-ir\candidate-owls\EXT_E004\CAND_002.owl,1,1,True,CONSISTENT,613,True,True,True,
