event_id,run,seed,semantic_type,generation_status,validation_reason,done_reason,eval_count,ir_status,ir_reason,bucket,fine_class,fine_label,salvage_family,has_semantic_result,has_assignment,response_is_object,salvage_ir_status,salvage_ir_reason,salvage_result,salvage_relation,salvage_new_value,replay_status,replay_path,replay_candidate,replay_oracle_correct
EXT_E002,1,20260827,CROSS_SENTENCE_SCOPE,RETRIEVAL_FAILED,not_run,,0,INVALID_OUTPUT,response_not_object,RETRIEVAL_FAILED,R_RETRIEVAL,retrieval failed; Qwen never ran,RETRIEVAL_GAP,False,False,False,INVALID_OUTPUT,response_not_object,,,,,,,False
EXT_E002,2,20260828,CROSS_SENTENCE_SCOPE,RETRIEVAL_FAILED,not_run,,0,INVALID_OUTPUT,response_not_object,RETRIEVAL_FAILED,R_RETRIEVAL,retrieval failed; Qwen never ran,RETRIEVAL_GAP,False,False,False,INVALID_OUTPUT,response_not_object,,,,,,,False
EXT_E002,3,20260829,CROSS_SENTENCE_SCOPE,RETRIEVAL_FAILED,not_run,,0,INVALID_OUTPUT,response_not_object,RETRIEVAL_FAILED,R_RETRIEVAL,retrieval failed; Qwen never ran,RETRIEVAL_GAP,False,False,False,INVALID_OUTPUT,response_not_object,,,,,,,False
EXT_E003,1,20260827,GENERAL_RULE_EXCEPTION,RETRIEVAL_FAILED,not_run,,0,INVALID_OUTPUT,response_not_object,RETRIEVAL_FAILED,R_RETRIEVAL,retrieval failed; Qwen never ran,RETRIEVAL_GAP,False,False,False,INVALID_OUTPUT,response_not_object,,,,,,,False
EXT_E003,2,20260828,GENERAL_RULE_EXCEPTION,RETRIEVAL_FAILED,not_run,,0,INVALID_OUTPUT,response_not_object,RETRIEVAL_FAILED,R_RETRIEVAL,retrieval failed; Qwen never ran,RETRIEVAL_GAP,False,False,False,INVALID_OUTPUT,response_not_object,,,,,,,False
EXT_E003,3,20260829,GENERAL_RULE_EXCEPTION,RETRIEVAL_FAILED,not_run,,0,INVALID_OUTPUT,response_not_object,RETRIEVAL_FAILED,R_RETRIEVAL,retrieval failed; Qwen never ran,RETRIEVAL_GAP,False,False,False,INVALID_OUTPUT,response_not_object,,,,,,,False
EXT_E036,2,20260828,CROSS_SENTENCE_SCOPE,GENERATED,ok,stop,412,INCOMPLETE_IR,missing:scope_relation,INCOMPLETE_IR,I_NONCRITICAL,missing only deterministically completable fields:scope_relation,DETERMINISTIC_COMPLETE,True,True,True,INCOMPLETE_IR,missing:scope_relation,"['web_accessibility', '3.3.8', 'aa', 'wcag21_cross_scope=1.1.1;level=aaa']",EXCEPTION_OVERRIDES,,,,,False
EXT_E043,2,20260828,TEMPORAL_VERSION,INVALID_SCHEMA,rules_missing,stop,184,INVALID_OUTPUT,rules_missing,INVALID_OUTPUT,J7,semantic present but structure parse failed,FORMAT_REPAIRABLE,False,False,True,OK,ok,sp800_63b_replaced_by_sp800_63b_4,EFFECTIVE_FROM,,ABSTAIN,IR_RANK_TIE_ABSTAIN,,False
EXT_E044,2,20260828,TEMPORAL_VERSION,INVALID_SCHEMA,rules_missing,stop,184,INVALID_OUTPUT,rules_missing,INVALID_OUTPUT,J7,semantic present but structure parse failed,FORMAT_REPAIRABLE,False,False,True,OK,ok,sp800_63b_replaced_by_sp800_63b_4,EFFECTIVE_FROM,,SELECTED,IR_CONSTRAINT_RANK,CAND_002,True
EXT_E047,1,20260827,CROSS_SENTENCE_SCOPE,GENERATED,ok,stop,404,INCOMPLETE_IR,missing:scope_relation,INCOMPLETE_IR,I_NONCRITICAL,missing only deterministically completable fields:scope_relation,DETERMINISTIC_COMPLETE,True,True,True,INCOMPLETE_IR,missing:scope_relation,"['expanded_identity_proofing', 'sp 800_63a_4 identity proofing and enrollment', 'nist special publication (sp) 800_63a', 'fraud_requirements=expanded_identity_proofing']",UNKNOWN,,,,,False
